Name,CR,XP,Race,Class1,Class1_Lvl,Class2,Class2_Lvl,Alignment,Size,Type,subtype1,subtype2,subtype3,subtype4,subtype5,subtype6,AC,AC_Touch,AC_Flat-footed,HP,HD,Fort,Ref,Will,Melee,Ranged,Space,Reach,Str,Dex,Con,Int,Wis,Cha,Feats,Skills,RacialMods,Languages,SQ,Environment,Organization,Treasure,Group,Gear,OtherGear,CharacterFlag,CompanionFlag,Speed,Base_Speed,Fly_Speed,Maneuverability,Climb_Speed,Swim_Speed,Burrow_Speed,Speed_Special,Speed_Land,Fly,Climb,Burrow,Swim,VariantParent,ClassArchetypes,CompanionFamiliarLink,AlternateNameForm,id,UniqueMonster,MR,Mythic,MT,Source,,
Aasimar,0.50,200,Aasimar,cleric,1,,,NG,Medium,outsider,native,,,,,,15,10,15,11,1d8+3,4,0,5,heavy mace -1 (1d8-1),light crossbow +0 (1d8/19-20),5,5,8,10,14,13,17,14,Turn Undead,"Diplomacy +8, Heal +7, Knowledge (religion) +5","+2 Diplomacy, +2 Perception","Celestial, Common, Draconic",,any land,"solitary, pair, or team (3-6)","NPC gear (scale mail, heavy mace, light crossbow with 10 bolts, other treasure)",,,,1,0,30 ft. (20 ft. in armor),30,(20 in armor),,,,,,1,0,0,0,0,,,NULL,,20,0,0,0,0,PFRPG Bestiary,,
Abaia,10,"9,6",,,,,,N,Huge,magical beast,aquatic,,,,,,25,11,22,147,14d10+70,14,12,8,"bite +21 (3d6+8/19-20 plus grab), tail slap +15 (2d6+4 plus grab)",,15,15,26,16,21,17,14,17,"Critical Focus, Improved Critical (bite), Iron Will, Power Attack, Staggering Critical, Vital Strike, Weapon Focus (bite)","Knowledge (arcana) +17, Knowledge (nature) +17, Perception +19, Spellcraft +17, Stealth +12 (+24 in water), Swim +16",+12 Stealth in water,"Aquan, Sylvan; speak with animals","eldritch gizzard, wave rider",warm lakes,solitary,standard (particularly staves and wands),,,,0,0,"20 ft., swim 80 ft.",20,,,,,,,1,0,0,0,1,NULL,,NULL,,5134,0,0,0,0,PFRPG Bestiary 4,,
Aballonian,7,"3,2",,,,,,N,Medium,construct,,,,,,,20,12,18,75,10d10+20,3,7,5,2 claws +15 (1d8+4/19-20 plus grab),spark +12 touch (2d6 electricity),5,5,19,14,0,17,10,11,"Improved Critical (claw), Iron Will, Lightning Reflexes, Power Attack, Weapon Focus (claw)","Acrobatics +12 (+16 when jumping), Climb +22, Knowledge (engineering) +13, Perception +10, Stealth +12",,Common, shortwave 100 ft.,rebuild,Aballon,"solitary, pair, or network (3-6)",standard,,,,0,0,"40 ft., climb 20 ft.",40,,,,,,,1,0,1,0,0,,,NULL,,2501,0,0,0,0,Distant Worlds,
Abasheen Genie,7,"3,2",,,,,,N,Large,outsider,air,extraplanar,,,,,21,13,17,85,10d10+30,6,12,13,2 slams +12 (2d6+3) or masterwork falchion +13/+8 (2d6+3/18-20),,10,10,16,17,16,20,18,17,"Combat Casting, Dodge, Improved Initiative, Iron Will, Lightning Reflexes","Bluff +16, Diplomacy +16, Fly +22, Intimidate +16, Knowledge (arcana) +18, Knowledge (nobility) +18, Knowledge (planes) +18, Perception +17, Sense Motive +17, Spellcraft +15, Use Magic Device +13",,"Abyssal, Auran, Common, Celestial, Infernal; telepathy 100 ft.",,any (Elemental Plane of Air),"solitary, pair, or company (2-5)",standard,Genie,masterwork falchion,,0,0,"20 ft., fly 50 ft. (perfect)",20,,perfect,,,,,1,1,0,0,0,,,NULL,,2623,0,0,0,0,Tome of Horrors Complete,,
Aberrant,5,"1,6",,,,,,NE,Large,humanoid,giant,,,,,,19,8,19,60,8d8+24,9,1,4,Huge greatclub +12/+7 (4d6+9),,10,10,23,8,17,10,14,10,"Cleave, Power Attack, Vital Strike, Weapon Focus (greatclub)","Intimidate +11, Perception +9, Survival +9","-2 penalty to Charisma-based skills per deformity, except +2 bonus to Intimidate checks per deformity","Common, Giant","deformities, slow and steady",temperate mountains and underground,"solitary, gang (2-5), band (6-9 plus 35% noncombatants), hunting/raiding party (6-9), or tribe (21-30 plus 35% noncombatants plus 1-2 adepts, barbarians, clerics, or sorcerers of 3rd or 4th level)","standard (Huge-sized greatclub, hide armor, other treasure)",,,,1,0,20 ft.,20,,,,,,,1,0,0,0,0,,,NULL,,1840,0,0,0,0,Tome of Horrors Complete,,
Aboleth,7,"3,2",,,,,,LE,Huge,aberration,aquatic,,,,,,20,9,19,84,8d8+48,8,5,11,4 tentacles +10 (1d6+5 plus slime),,15,15,20,12,22,15,17,17,"Improved Initiative, Iron Will, Lightning Reflexes, Weapon Focus (tentacle)","Bluff +11, Intimidate +14, Knowledge (any one) +13, Perception +14, Spellcraft +13, Swim +24",,"Aboleth, Aklo, Aquan, Undercommon",,any aquatic,"solitary, pair, brood (3-6), or shoal (7-19)",double,,,,0,0,"10 ft., swim 60 ft.",10,,,,60,,,1,0,0,0,1,,,NULL,,21,0,0,0,0,PFRPG Bestiary,,
Abrikandilu,3,800,,,,,,CE,Medium,outsider,chaotic,demon,evil,extraplanar,,,15,10,15,32,5d10+5,5,4,3,"bite +7 (1d6+2 plus mutilation), 2 claws +7 (1d4+2)",improvised weapon +5 (1d6+2),5,5,15,11,12,6,10,13,"Improved Sunder, Iron Will, Power Attack, Throw AnythingB","Appraise +6, Climb +10, Disable Device +8, Perception +12",+4 Perception,"Abyssal, Celestial, Draconic; telepathy 100 ft.",,any (Abyss),"solitary, pair, or gang (3-12)",standard (all art objects are broken),Demon,,,0,0,30 ft.,30,,,,,,,1,0,0,0,0,NULL,,NULL,,4665,0,0,0,0,The Worldwound,,
Abyss Gigas,16,"76,8",,,,,,CE,Gargantuan,humanoid,chaotic,evil,extraplanar,giant,,,31,7,30,283,21d8+189,21,8,10,"mwk adamantine warhammer +25/+20/+15 (4d6+19/19-20/x3), bite +19 (2d8+6 plus wrenching spasms)",rock +13 (4d6+19),20,20,37,12,28,20,17,15,"Awesome Blow, Catch Off-Guard, Combat Reflexes, Greater Sunder, Improved Bull Rush, Improved Critical (warhammer), Improved Initiative, Improved Sunder, Power Attack, Stand Still, Throw Anything","Climb +32, Intimidate +26, Knowledge (planes) +26, Perception +27, Sense Motive +24, Stealth +5, Survival +27",,"Abyssal, Common, Giant",planar empowerment,any (Abyss),"solitary, pair, or gang (3-7)","standard (adamantine full plate, adamantine warhammer, other treasure)",Abyss,,,0,0,60 ft. (50 ft. in armor),60,,,(50 in armor),,,,1,0,0,0,0,,,NULL,,970,0,0,0,0,The Witchwar Legacy,,
Abyssal Harvester,17,"102,4",,,,,,CE,Gargantuan,aberration,chaotic,evil,extraplanar,,,,28,6,28,283,21d8+189,16,9,15,6 tentacles +22 (4d6+15/19-20 plus grab),,20,20,41,10,29,10,16,13,"Alertness, Awesome Blow, Blind-Fight, Cleave, Improved Bull Rush, Improved Critical (tentacle), Improved Grapple, Improved Natural Attack (tentacle), Lightning Reflexes, Power Attack, Weapon Focus (tentacle)","Intimidate +25, Knowledge (planes) +21, Perception +31, Sense Motive +5, Survival +27",,Abyssal,tentacle regeneration,the Abyss,solitary,standard,,,,0,0,20 ft.,20,,,,,,,1,0,0,0,0,,,NULL,,1841,0,0,0,0,Tome of Horrors Complete,,
Abyssal Larva,1,400,,,,,,CE,Medium,outsider,chaotic,evil extraplanar,,,,,14,10,14,8,1d10+3,2,2,0,bite +1 (1d4 plus 1d4 acid),maggot spray +1 (sickened),5,5,10,10,11,3,10,7,Toughness,"Perception +4, Stealth +4",,,tortured mind,the Abyss,"mob (4-7), brood (8-17)",none,,,,0,0,20 ft.,20,,,,,,,1,0,0,0,0,,,NULL,,1842,0,0,0,0,Tome of Horrors Complete,,
Abyssal Wolf,7,"3,2",,,,,,CE,Large,magical beast,chaotic,evil,extraplanar,,,,20,12,17,80,7d10+42,10,8,6,bite +11 (1d8+7 plus trip),,10,5,20,17,20,8,14,17,"Improved Initiative, Iron Will, Power Attack, Toughness","Perception +9 (+11 vs. half-fiends and tieflings), Sense Motive +2 (+4 vs. half-fiends and tieflings), Stealth +5",+2 Perception and Sense Motive vs. half-fiends and tieflings,"Abyssal, Common",,The Abyss,"solitary, pair, or pack (4-11)",none,,,,0,0,50 ft.,50,,,,,,,1,0,0,0,0,,,NULL,,3437,0,0,0,0,Tome of Horrors Complete,,
Accuser,3,800,,,,,,LE,Small,outsider,devil,evil,extraplanar,lawful,,,17,15,13,30,4d10+8,6,10,3,bite +5 (1d6 plus 1d6 acid and disease),,5,5,11,18,14,9,15,12,"Improved Initiative, Lightning Reflexes","Bluff +8, Fly +21, Knowledge (planes) +6, Perception +9, Stealth +15",,"Celestial, Draconic, Infernal; telepathy 100 ft.",infernal eye,any (Hell),"solitary, pair, or swarm (3-28)",standard,Devil,,,0,0,"20 ft., fly 60 ft. (perfect)",20,60,,,,,,1,1,0,0,0,,,NULL,Zebub,1160,0,0,0,0,PFRPG Bestiary 2,,
