name,type,data/description/value,data/description/chat,data/description/unidentified,data/source,data/activation/type,data/activation/cost,data/activation/condition,data/duration/value,data/duration/units,data/target/value,data/target/units,data/target/type,data/range/value,data/range/long,data/range/units,data/uses/value,data/uses/max,data/uses/per,data/consume/type,data/consume/target,data/consume/amount,data/ability,data/actionType,data/attackBonus,data/chatFlavor,data/critical,data/damage/versatile,data/formula,data/save/ability,data/save/dc,data/save/scaling,data/level,data/school,data/components/value,data/components/vocal,data/components/somatic,data/components/material,data/components/ritual,data/components/concentration,data/materials/value,data/materials/consumed,data/materials/cost,data/materials/supply,data/preparation/mode,data/preparation/prepared,data/scaling/mode,data/scaling/formula,data/img
sample,spell,<p>No description</p>,,,Rapazeada,action,1,,minute,1,null,,,null,null,,0,0,,,,null,,,,,,,,,null,,,,,false,false,false,false,false,,,,null,,,,,
Shadow Moil,spell,"Flame-like 

Shadows wreathe your body until the spell ends, causing you to become heavily obscured to others. The shadows turn dim light within 10 feet of you into darkness, and bright light in the same area to dim light.

Until the spell ends, you have resistance to radiant damage. In addition, whenever a creature within 10 feet of you hits you with an attack, the shadows lash out at that creature, dealing it 2d8 necrotic damage.",,,Rapazeada,action,1,,minute,1,,,,,,self,0,0,,,,,,,0,,,,,,,spell,4,nec,,true,true,true,false,true,an undead eyeball encased in a gem worth at least 150 gp,false,150,,prepared,true,level,,assets/Icons/Trade/EssenceEternalSmall.png
Shadow Blade,spell,"<p>You weave together threads of shadow to create a sword of solidified gloom in your hand. This magic sword lasts until the spell ends. It counts as a simple melee weapon with which you are proficient. It deals 2d8 psychic damage on a hit and has the finesse, light, and thrown properties (range 20/60). In addition, when you use the sword to attack a target that is in dim light or darkness, you make the attack roll with advantage.</p><p>If you drop the weapon or throw it, it dissipates at the end of the turn. Thereafter, while the spell persists, you can use a bonus action to cause the sword to reappear in your hand.</p> ",,,Rapazeada,bonus,1,,minute,1,,,,,,self,0,0,,,,,,,0,,,,,,,spell,2,ill,,true,true,false,false,true,,false,0,,prepared,true,level,,assets/Icons/Trade/EssenceEternalSmall.png
Sequester,spell,"<p>By means of this spell, a willing creature or an object can be hidden away, safe from detection for the duration. When you cast the spell and touch the target, it becomes invisible and can’t be targeted by divination spells or perceived through scrying sensors created by divination spells.</p><p>If the target is a creature, it falls into a state of suspended animation. Time ceases to flow for it, and it doesn’t grow older.</p><p>You can set a condition for the spell to end early. The condition can be anything you choose, but it must occur or be visible within 1 mile of the target. Examples include “after 1,000 years” or “when the tarrasque awakens.” This spell also ends if the target takes any damage.</p> ",,,Rapazeada,action,1,,special,,,,,,,touch,0,0,,,,,,,0,,,,,,,spell,7,trs,,true,true,true,false,false,"a powder composed of diamond, emerald, ruby, and sapphire dust worth at least 5,000 gp, which the spell consumes",true,5000,,prepared,true,level,,assets/Icons/Trade/EssenceEternalSmall.png
Sending,spell,"<p>You send a short message of twenty-five words or less to a creature with which you are familiar. The creature hears the message in its mind, recognizes you as the sender if it knows you, and can answer in a like manner immediately. The spell enables creatures with Intelligence scores of at least 1 to understand the meaning of your message.</p><p>You can send the message across any distance and even to other planes of existence, but if the target is on a different plane than you, there is a 5 percent chance that the message doesn’t arrive.</p> ",,,Rapazeada,action,1,,round,1,,,,,,special,0,0,,,,,,,0,,,,,,,spell,3,evo,,true,true,true,false,false,a short piece of fine copper wire,false,0,,prepared,true,level,,assets/Icons/Trade/EssenceEternalSmall.png
Seeming,spell,"<p>This spell allows you to change the appearance of any number of creatures that you can see within range. You give each target you choose a new, illusory appearance. An unwilling target can make a Charisma saving throw, and if it succeeds, it is unaffected by this spell.</p><p>The spell disguises physical appearance as well as clothing, armor, weapons, and equipment. You can make each creature seem 1 foot shorter or taller and appear thin, fat, or in between. You can’t change a target’s body type, so you must choose a form that has the same basic arrangement of limbs. Otherwise, the extent of the illusion is up to you. The spell lasts for the duration, unless you use your action to dismiss it sooner.</p><p>The changes wrought by this spell fail to hold up to physical inspection. For example, if you use this spell to add a hat to a creature’s outfit, objects pass through the hat, and anyone who touches it would feel nothing or would feel the creature’s head and hair. If you use this spell to appear thinner than you are, the hand of someone who reaches out to touch you would bump into you while it was seemingly still in midair.</p><p>A creature can use its action to inspect a target and make an Intelligence (Investigation) check against your spell save DC. If it succeeds, it becomes aware that the target is disguised.</p> ",,,Rapazeada,action,1,,hour,8,,,,9,,ft,0,0,,,,,,,0,,,,,,,spell,5,ill,,true,true,false,false,false,,false,0,,prepared,true,level,,assets/Icons/Trade/EssenceEternalSmall.png
See Invisibility,spell,"<p>For the duration, you see invisible creatures and objects as if they were visible, and you can see into the Ethereal Plane. Ethereal creatures and objects appear ghostly and translucent.</p> ",,,Rapazeada,action,1,,hour,1,,,,,,self,0,0,,,,,,,0,,,,,,,spell,2,div,,true,true,true,false,false,a pinch of talc and a small sprinkling of powdered silver,false,0,,prepared,true,level,,assets/Icons/Trade/EssenceEternalSmall.png
Searing Smite,spell,"<p>The next time you hit a creature with a melee weapon attack during the spell’s duration, your weapon flares with white-hot intensity, and the attack deals an extra 1d6 fire damage to the target and causes the target to ignite in flames. At the start of each of its turns until the spell ends, the target must make a Constitution saving throw. On a failed save, it takes 1d6 fire damage. On a successful save, the spell ends. If the target or a creature within 5 feet of it uses an action to put out the flames, or if some other effect douses the flames (such as the target being submerged in water), the spell ends.</p> ",,,Rapazeada,bonus,1,,minute,1,,,,,,self,0,0,,,,,,,0,,,,,,,spell,1,evo,,true,false,false,false,true,,false,0,,prepared,true,level,,assets/Icons/Trade/EssenceEternalSmall.png
Scrying,spell,"<p>You can see and hear a particular creature you choose that is on the same plane of existence as you. The target must make a Wisdom saving throw, which is modified by how well you know the target and the sort of physical connection you have to it. If a target knows you’re casting this spell, it can fail the saving throw voluntarily if it wants to be observed.</p><p>On a successful save, the target isn’t affected, and you can’t use this spell against it again for 24 hours.</p><p><strong>Knowledge</strong></p><ul><li>Secondhand (you have heard of the target) <strong>+5</strong></li><li>Firsthand (you have met the target) <strong>0</strong></li><li>Familiar (you know the target well)<strong> -5</strong></li></ul><p><strong>Connection</strong></p><ul><li>Likeness or picture <strong>-2</strong></li><li>Possession or garment <strong>-4</strong></li><li>Body part, lock of hair, bit of nail, or the like<strong> -10</strong></li></ul><p>On a failed save, the spell creates an invisible sensor within 10 feet of the target. You can see and hear through the sensor as if you were there. The sensor moves with the target, remaining within 10 feet of it for the duration. A creature that can see invisible objects sees the sensor as a luminous orb about the size of your fist.</p><p>Instead of targeting a creature, you can choose a location you have seen before as the target of this spell. When you do, the sensor appears at that location and doesn’t move.</p> ",,,Rapazeada,minute,10,,minute,10,,,,,,self,0,0,,,,,,,0,,,,,,,spell,5,div,,true,true,true,false,true,"a focus worth at least 1,000 gp, such as a crystal ball, a silver mirror, or a font filled with holy water",false,1000,,prepared,true,level,,assets/Icons/Trade/EssenceEternalSmall.png
Scorching Ray,spell,"<p>You create three rays of fire and hurl them at targets within range. You can hurl them at one target or several.</p><p>Make a ranged spell attack for each ray. On a hit, the target takes 2d6 fire damage.</p> ",,,Rapazeada,action,1,,inst,,,,,36,,ft,0,0,,,,,,,0,,,,,,,spell,2,evo,,true,true,false,false,false,,false,0,,prepared,true,level,,assets/Icons/Trade/EssenceEternalSmall.png
